Qty,Qty*250,Part Number,Manufacturer,Category,Description,Package,Assembly Type,Substitutions,Designators,Notes
16,4000,MIC5205-3.3YM5 TR,Micrel,IC,3.3V Regulator,sot-23-5,SMD,Approval Required,"9-U1,12-U1,13-U2,14-U2,15-U2,16-U2,17-U2,22-U1,23-U1,24-U1,25-U1,26-U4,27-U4,28-U4,29-U4,30-U4",
78,19500,ERJ-3EKF1500V,Panasonic,Resistor,150 Ohm 1% 1/10W,0603,SMD,Allowed,"1-R8,1-R9,2-R8,2-R9,3-R8,3-R9,4-R8,4-R9,5-R8,5-R9,6-R2,6-R3,6-R4,6-R5,6-R6,6-R8,6-R9,6-R10,7-R2,7-R3,7-R4,7-R5,7-R6,8-R2,8-R3,8-R4,8-R5,8-R6,9-R2,9-R3,9-R4,9-R5,9-R6,9-R7,9-R8,9-R9,9-R10,9-R11,18-R2,18-R3,18-R4,18-R5,18-R6,18-R8,18-R9,18-R10,19-R2,19-R3,19-R4,19-R5,19-R6,19-R8,19-R9,19-R10,20-R2,20-R3,20-R4,20-R5,20-R6,20-R8,20-R9,20-R10,21-R2,21-R3,21-R4,21-R5,21-R6,21-R8,21-R9,21-R10,31-R12,31-R13,32-R12,32-R13,33-R12,33-R13,34-R12,34-R13",
30,7500,ERJ-3EKF4700V,Panasonic,Resistor,470 Ohm 1% 1/10W,0603,SMD,Allowed,"13-R3,13-R4,13-R5,13-R6,13-R7,13-R8,14-R3,14-R4,14-R5,14-R6,14-R7,14-R8,15-R3,15-R4,15-R5,15-R6,15-R7,15-R8,16-R3,16-R4,16-R5,16-R6,16-R7,16-R8,17-R3,17-R4,17-R5,17-R6,17-R7,17-R8",
58,14500,ERJ-3EKF1001V,Panasonic,Resistor,1k Ohm 1% 1/10W,0603,SMD,Allowed,"1-R1,2-R1,3-R1,4-R1,5-R1,6-R1,6-R7,7-R1,8-R1,9-R1,10-R1,10-R2,11-R1,11-R2,13-R1,13-R2,13-R9,13-R10,14-R1,14-R2,14-R9,14-R10,15-R1,15-R2,15-R9,15-R10,16-R1,16-R2,16-R9,16-R10,17-R1,17-R2,17-R9,17-R10,18-R1,18-R7,19-R1,19-R7,20-R1,20-R7,21-R1,21-R7,26-R4,26-R7,27-R4,27-R7,28-R4,28-R7,29-R4,29-R7,30-R4,30-R7,31-R1,32-R1,33-R1,34-R1,35-R2,36-R2",
5,1250,ERJ-3EKF1304V,Panasonic,Resistor,1.33 MOhm 1% 1/10W,0603,SMD,Allowed,"26-R2,27-R2,28-R2,29-R2,30-R2",
8,2000,CSRN2010FKR250,Stackpole,Resistor,.25 Ohm 1% 1W,2010,SMD,Allowed,"31-R3,31-R4,32-R3,32-R4,33-R3,33-R4,34-R3,34-R4",
22,5500,ERJ-3EKF1002V,Panasonic,Resistor,10 kOhm 1% 1/10W,0603,SMD,Allowed,"26-R1,26-R3,26-R5,26-R6,27-R1,27-R3,27-R5,27-R6,28-R1,28-R3,28-R5,28-R6,29-R1,29-R3,29-R5,29-R6,30-R1,30-R3,30-R5,30-R6,35-R1,36-R1",
12,3000,LTST-C230TBKT,Lite-On Inc,LED,Blue Reverse Mount,1206,SMD,Approval Required,"1-LED1,2-LED1,3-LED1,4-LED1,5-LED1,6-LED1,7-LED1,8-LED1,18-LED1,19-LED1,20-LED1,21-LED1",
17,4250,LTST-C171TBKT,Lite-On Inc,LED,Blue,0805,SMD,Approval Required,"9-LED1,13-LED2,14-LED2,15-LED2,16-LED2,17-LED2,26-LED1,27-LED1,28-LED1,29-LED1,30-LED1,31-LED1,32-LED1,33-LED1,34-LED1,35-LED1,36-LED1",
5,1250,LTST-C171KRKT,Lite-On Inc,LED,Red,0805,SMD,Approval Required,"13-LED1,14-LED1,15-LED1,16-LED1,17-LED1",
