RefDes,Layer,LocationX,LocationY,Rotation
1-C1,Bottom,1.363,1.075,90
1-F1,Bottom,0.600,0.600,0
1-F2,Bottom,1.350,1.450,0
1-JP1,Bottom,1.100,1.225,0
1-LED1,Bottom,1.537,1.338,180
1-R1,Bottom,1.537,1.225,180
1-R8,Bottom,1.350,0.825,0
1-R9,Bottom,0.900,0.950,90
1-U3,Bottom,1.138,0.675,90
2-C1,Bottom,2.863,1.075,90
2-F1,Bottom,2.100,0.600,0
2-F2,Bottom,2.850,1.450,0
2-JP1,Bottom,2.600,1.225,0
2-LED1,Bottom,3.037,1.338,180
2-R1,Bottom,3.037,1.225,180
2-R8,Bottom,2.850,0.825,0
2-R9,Bottom,2.400,0.950,90
2-U3,Bottom,2.638,0.675,90
3-C1,Bottom,4.363,1.075,90
3-F1,Bottom,3.600,0.600,0
3-F2,Bottom,4.350,1.450,0
3-JP1,Bottom,4.100,1.225,0
3-LED1,Bottom,4.537,1.338,180
3-R1,Bottom,4.537,1.225,180
3-R8,Bottom,4.350,0.825,0
3-R9,Bottom,3.900,0.950,90
3-U3,Bottom,4.138,0.675,90
4-C1,Bottom,5.863,1.075,90
4-F1,Bottom,5.100,0.600,0
4-F2,Bottom,5.850,1.450,0
4-JP1,Bottom,5.600,1.225,0
4-LED1,Bottom,6.037,1.338,180
4-R1,Bottom,6.037,1.225,180
4-R8,Bottom,5.850,0.825,0
4-R9,Bottom,5.400,0.950,90
4-U3,Bottom,5.638,0.675,90
5-C1,Bottom,7.363,1.075,90
5-F1,Bottom,6.600,0.600,0
5-F2,Bottom,7.350,1.450,0
5-JP1,Bottom,7.100,1.225,0
5-LED1,Bottom,7.537,1.338,180
5-R1,Bottom,7.537,1.225,180
5-R8,Bottom,7.350,0.825,0
5-R9,Bottom,6.900,0.950,90
5-U3,Bottom,7.138,0.675,90
6-C1,Bottom,8.600,0.912,0
6-F1,Bottom,9.112,0.775,0
6-F2,Bottom,8.325,1.500,0
6-JP1,Bottom,8.600,1.225,0
6-LED1,Bottom,8.175,1.275,180
6-R1,Bottom,8.450,0.925,180
6-R2,Bottom,8.225,0.675,270
6-R3,Bottom,8.150,0.825,270
6-R4,Bottom,8.225,0.825,270
6-R5,Bottom,8.225,0.975,270
6-R6,Bottom,8.150,0.975,270
6-R7,Bottom,8.100,1.125,270
6-R8,Bottom,8.425,0.525,180
6-R9,Bottom,8.863,0.513,270
6-R10,Bottom,8.325,0.675,270
6-SW1,Top,8.600,1.000,90
6-U2,Bottom,8.625,0.775,270
7-C1,Bottom,10.050,0.937,0
7-F1,Bottom,9.625,0.650,0
7-F2,Bottom,10.350,1.300,0
7-JP1,Bottom,10.100,1.225,0
7-LED1,Bottom,10.500,1.150,180
7-R1,Bottom,10.500,0.975,180
7-R2,Bottom,9.650,1.100,180
7-R3,Bottom,9.650,0.900,180
7-R4,Bottom,9.650,1.200,180
7-R5,Bottom,9.650,1.000,180
7-R6,Bottom,9.650,1.300,180
7-R8,Bottom,9.850,0.950,270
7-R9,Bottom,10.238,0.925,270
7-U3,Bottom,10.050,0.850,270
8-C1,Bottom,11.550,0.937,0
8-F1,Bottom,11.125,0.650,0
8-F2,Bottom,11.850,1.300,0
8-JP1,Bottom,11.600,1.225,0
8-LED1,Bottom,12.000,1.150,180
8-R1,Bottom,12.000,0.975,180
8-R2,Bottom,11.150,1.100,180
8-R3,Bottom,11.150,0.900,180
8-R4,Bottom,11.150,1.200,180
8-R5,Bottom,11.150,1.000,180
8-R6,Bottom,11.150,1.300,180
8-R8,Bottom,11.350,0.950,270
8-R9,Bottom,11.738,0.925,270
8-U3,Bottom,11.550,0.850,270
9-C1,Top,13.088,1.138,180
9-FID1,Top,13.638,0.637,90
9-FID2,Top,12.575,0.850,0
9-FID4,Bottom,13.350,1.475,0
9-FID5,Bottom,12.575,0.850,0
9-JP1,Bottom,13.100,1.225,0
9-LED1,Top,12.612,1.300,180
9-R1,Top,12.612,1.125,90
9-R2,Top,12.838,1.125,270
9-R3,Top,13.550,1.125,270
9-R4,Top,12.687,1.125,270
9-R5,Top,13.475,1.125,270
9-R6,Top,13.375,1.125,270
9-R7,Top,12.912,1.125,270
9-R8,Top,12.762,1.125,270
9-R9,Top,13.275,1.125,270
9-R10,Top,12.850,1.450,90
9-R11,Top,13.350,1.487,90
9-SJ1,Bottom,13.375,1.175,270
9-U1,Bottom,13.525,1.175,270
9-U2,Top,13.075,1.225,90
